Country1,Country2,Score1,Score2,Goals1,Times1,Goals2,Times2,Time,Date,Stadium,Attendance,Round,Referee,ExtraTime
Czechoslovakia,Romania,2,1,"Antonín Puč,Oldřich Nejedlý","50,67",Ștefan Dobay,11,15:30,27/05/1934,Stadio Littorio,9000,Round of 16,Jean Langenus,N
Hungary,Egypt,4,2,"Pál Teleki,Géza Toldi,Jenő Vincze,Géza Toldi","11,31,53,61","Abdulrahman Fawzi,Abdulrahman Fawzi","35,39",15:30,27/05/1934,Stadio Giorgio Ascarelli,9000,Round of 16,Rinaldo Barlassina,N
Austria,France,3,2,"Matthias Sindelar,Anton Schall,Josef Bican","44,93,109","Jean Nicolas,Georges Verriest","18,116",15:30,27/05/1934,Stadio Benito Mussolini,16000,Round of 16,Johannes Van Moorsel,Y
Switzerland,Netherlands,3,2,"Leopold Kielholz,Leopold Kielholz,André Abegglen","7,43,66","Kick Smit,Leen Vente","29,69",15:30,27/05/1934,Stadio San Siro,33000,Round of 16,Ivan Eklind,N
Spain,Brazil,3,1,"José Iraragorri,José Iraragorri,Isidro Lángara","18,25,29",Leônidas,55,15:30,27/05/1934,Stadio Luigi Ferraris,21000,Round of 16,Alfred Birlem,N
Italy,United States,7,1,"Angelo Schiavio,Raimundo Orsi,Angelo Schiavio,Giovanni Ferrari,Angelo Schiavio,Raimundo Orsi,Giuseppe Meazza","18,20,29,63,64,69,90",Aldo Donelli,57,15:30,27/05/1934,Stadio Nazionale PNF,25000,Round of 16,Rene Mercet,N
Germany,Belgium,5,2,"Stanislaus Kobierski,Otto Siffling,Edmund Conen,Edmund Conen,Edmund Conen","25,49,66,70,87","Bernard Voorhoof,Bernard Voorhoof","29,43",15:30,27/05/1934,Stadio Giovanni Berta,8000,Round of 16,Francesco Mattea,N
Sweden,Argentina,3,2,"Sven Jonasson,Sven Jonasson,Knut Kroon","9,67,79","Ernesto Belis,Alberto Galateo","4,48",15:30,27/05/1934,Stadio Littoriale,14000,Round of 16,Eugen Braun,N
Austria,Hungary,2,1,"Johann Horvath,Karl Zischek","8,51","György Sárosi,Imre Markos_RC","60,63",15:30,31/05/1934,Stadio Littoriale,23000,Quarter-final,Francesco Mattea,N
Germany,Sweden,2,1,"Karl Hohmann,Karl Hohmann","60,63",Gösta Dunker,82,15:30,31/05/1934,Stadio San Siro,3000,Quarter-final,Rinaldo Barlassina,N
Italy,Spain,1,1,Giovanni Ferrari,44,Luis Regueiro,30,15:30,31/05/1934,Stadio Giovanni Berta,35000,Quarter-final,Louis Baert,Y
Czechoslovakia,Switzerland,3,2,"František Svoboda,Jiří Sobotka,Oldřich Nejedlý","24,49,82","Leopold Kielholz,Willy Jäggi","18,78",15:30,31/05/1934,Stadio Benito Mussolini,12000,Quarter-final,Alois Beranek,N
Italy,Spain,1,0,Giuseppe Meazza,11,,,15:30,01/06/1934,Stadio Giovanni Berta,43000,Quarter-final,Rene Mercet,N
Czechoslovakia,Germany,3,1,"Oldřich Nejedlý,Oldřich Nejedlý,Oldřich Nejedlý","21,69,80",Rudolf Noack,62,15:30,03/06/1934,Stadio Nazionale PNF,15000,Semi-final,Rinaldo Barlassina,N
Italy,Austria,1,0,Enrique Guaita,19,,,15:30,03/06/1934,Stadio San Siro,35000,Semi-final,Ivan Eklind,N
Italy,Czechoslovakia,2,1,"Raimundo Orsi,Angelo Schiavio","81,95",Antonín Puč,71,16:30,10/06/1934,Stadio Nazionale PNF,55000,Final,Ivan Eklind,Y
